PLOTID,QuadrantID,Landscape_type,Landscape_type_2,Plot_type,Plot_type_2,Landscape_Plot,BIN_Richness,RL_Richness,BIN_Coleoptera,BIN_Diptera,BIN_Hemiptera,BIN_Hymenoptera,BIN_Lepidoptera,BIN_Orthoptera,BIN_Rest,Visit,Date start,Date end,Day start,Day end,Day mean,Duration,Biomass,Biomass_per_day,Excluded,Average_temperature,Average_humidity,Long-Term Mean Annual Precipitation,Long-Term Mean Annual Average Near Surface Temperature,point_x,point_y,Elevation
5637_3_A,5637_3,Urban,c,arable field,c,c_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7578333333,7724722222,3702728561,5582170587,558
5637_3_A,5637_3,Urban,c,arable field,c,c_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,26.04.2019,16.05.2019,116,136,126,20,"5,27","0,26",0,771803373,8106917857,7578333333,7724722222,3702728561,5582170587,558
5637_3_A,5637_3,Urban,c,arable field,c,c_c,183,1,14,128,7,18,11,0,3,5,16.05.2019,31.05.2019,136,151,1435,15,"8,18","0,545333333",0,1293298177,8079604427,7578333333,7724722222,3702728561,5582170587,558
5637_3_A,5637_3,Urban,c,arable field,c,c_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,31.05.2019,15.06.2019,151,166,1585,15,"13,05","0,87",0,1973385417,6848577083,7578333333,7724722222,3702728561,5582170587,558
5637_3_A,5637_3,Urban,c,arable field,c,c_c,215,5,18,123,6,37,21,1,8,7,15.06.2019,04.07.2019,166,185,1755,19,"21,4","1,13",0,2180854167,5758726667,7578333333,7724722222,3702728561,5582170587,558
5637_3_A,5637_3,Urban,c,arable field,c,c_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,04.07.2019,19.07.2019,185,200,1925,15,NA,NA,1,1664347656,6742295573,7578333333,7724722222,3702728561,5582170587,558
5637_3_A,5637_3,Urban,c,arable field,c,c_c,217,6,22,102,12,29,21,8,9,9,19.07.2019,04.08.2019,200,216,208,16,"12,73","0,8",0,2169855637,6332207598,7578333333,7724722222,3702728561,5582170587,558
5637_3_A,5637_3,Urban,c,arable field,c,c_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,04.08.2019,19.08.2019,216,231,2235,15,"6,53","0,44",0,1813529948,727016224,7578333333,7724722222,3702728561,5582170587,558
5637_3_G,5637_3,Urban,c,meadow,b,c_b,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,08.04.2019,02.05.2019,98,122,110,24,"21,74","0,91",0,8465093333,7072747,7751666667,7689166667,3703446049,5580414331,519
5637_3_G,5637_3,Urban,c,meadow,b,c_b,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,02.05.2019,16.05.2019,122,136,129,14,"0,58","0,04",0,6653855556,8090741111,7751666667,7689166667,3703446049,5580414331,519
5637_3_G,5637_3,Urban,c,meadow,b,c_b,309,3,20,206,6,54,13,0,6,5,16.05.2019,31.05.2019,136,151,1435,15,"14,31","0,954",0,1295042448,7911505729,7751666667,7689166667,3703446049,5580414331,519
5637_3_G,5637_3,Urban,c,meadow,b,c_b,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,31.05.2019,15.06.2019,151,166,1585,15,"41,18","2,75",0,1902758333,7071595052,7751666667,7689166667,3703446049,5580414331,519
5637_3_G,5637_3,Urban,c,meadow,b,c_b,388,20,22,221,8,44,68,6,14,7,15.06.2019,04.07.2019,166,185,1755,19,"170,7","8,98",0,2028195625,6459821875,7751666667,7689166667,3703446049,5580414331,519
5637_3_G,5637_3,Urban,c,meadow,b,c_b,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,04.07.2019,19.07.2019,185,200,1925,15,"90,78","6,05",0,1574870313,7137833073,7751666667,7689166667,3703446049,5580414331,519
5637_3_G,5637_3,Urban,c,meadow,b,c_b,397,16,21,240,6,42,63,8,12,9,19.07.2019,04.08.2019,200,216,208,16,"98,76","6,17",0,2020189216,702427402,7751666667,7689166667,3703446049,5580414331,519
5637_3_G,5637_3,Urban,c,meadow,b,c_b,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,04.08.2019,19.08.2019,216,231,2235,15,"42,5","2,83",0,1759540104,7657040885,7751666667,7689166667,3703446049,5580414331,519
5637_3_U,5637_3,Urban,c,settlement,d,c_d,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,08.04.2019,02.05.2019,98,122,110,24,"16,2","0,68",0,9405756667,6392828667,7172333333,77475,3706417544,5579381856,536
5637_3_U,5637_3,Urban,c,settlement,d,c_d,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,02.05.2019,16.05.2019,122,136,129,14,"4,63","0,33",0,7449811111,7469876667,7172333333,77475,3706417544,5579381856,536
5637_3_U,5637_3,Urban,c,settlement,d,c_d,335,5,25,225,14,48,15,0,3,5,16.05.2019,31.05.2019,136,151,1435,15,"12,26","0,817333333",0,1426761979,7253577604,7172333333,77475,3706417544,5579381856,536
5637_3_U,5637_3,Urban,c,settlement,d,c_d,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,31.05.2019,15.06.2019,151,166,1585,15,"26,57","1,77",0,2150063802,6084426563,7172333333,77475,3706417544,5579381856,536
5637_3_U,5637_3,Urban,c,settlement,d,c_d,421,10,20,236,20,73,56,2,7,7,15.06.2019,04.07.2019,166,185,1755,19,109,"5,74",0,2257735625,5436733125,7172333333,77475,3706417544,5579381856,536
5637_3_U,5637_3,Urban,c,settlement,d,c_d,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,04.07.2019,19.07.2019,185,200,1925,15,"36,09","2,41",0,1703611719,6478504688,7172333333,77475,3706417544,5579381856,536
5637_3_U,5637_3,Urban,c,settlement,d,c_d,379,13,27,176,33,71,48,12,5,9,19.07.2019,04.08.2019,200,216,208,16,"50,09","3,13",0,2210038971,6229236275,7172333333,77475,3706417544,5579381856,536
5637_3_U,5637_3,Urban,c,settlement,d,c_d,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,04.08.2019,19.08.2019,216,231,2235,15,36,"2,4",0,1867368229,7171442448,7172333333,77475,3706417544,5579381856,536
5728_2_A,5728_2,Agricultural,b,arable field,c,b_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10.04.2019,29.04.2019,100,119,1095,19,"15,17","0,8",0,1081336875,6020234792,5974,8961666667,3603896377,5573385043,292
5728_2_A,5728_2,Agricultural,b,arable field,c,b_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,29.04.2019,15.05.2019,119,135,127,16,"2,75","0,17",0,8860536765,7537288725,5974,8961666667,3603896377,5573385043,292
5728_2_A,5728_2,Agricultural,b,arable field,c,b_c,206,6,17,137,7,31,7,1,4,5,15.05.2019,31.05.2019,135,151,143,16,"21,5","1,34375",0,1374165196,7837019363,5974,8961666667,3603896377,5573385043,292
5728_2_A,5728_2,Agricultural,b,arable field,c,b_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,31.05.2019,14.06.2019,151,165,158,14,"56,17","4,01",0,1911021667,7457440278,5974,8961666667,3603896377,5573385043,292
5728_2_A,5728_2,Agricultural,b,arable field,c,b_c,270,5,15,168,7,39,33,0,4,7,14.06.2019,01.07.2019,165,182,1735,17,"89,7","5,28",0,2251015278,6661225694,5974,8961666667,3603896377,5573385043,292
5728_2_A,5728_2,Agricultural,b,arable field,c,b_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,01.07.2019,16.07.2019,182,197,1895,15,"42,08","2,81",0,1805019792,6579458333,5974,8961666667,3603896377,5573385043,292
5728_2_A,5728_2,Agricultural,b,arable field,c,b_c,203,3,23,102,9,36,15,4,6,9,16.07.2019,01.08.2019,197,213,205,16,"86,75","5,42",0,2284516912,6204250245,5974,8961666667,3603896377,5573385043,292
5728_2_A,5728_2,Agricultural,b,arable field,c,b_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,01.08.2019,16.08.2019,213,228,2205,15,"39,21","2,61",0,1923509896,7181365625,5974,8961666667,3603896377,5573385043,292
5728_2_F,5728_2,Agricultural,b,forest,a,b_a,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10.04.2019,29.04.2019,100,119,1095,19,"27,98","1,47",0,1234229583,5677078542,6899666667,8481944444,3603249002,5570272775,380
5728_2_F,5728_2,Agricultural,b,forest,a,b_a,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,29.04.2019,15.05.2019,119,135,127,16,"9,09","0,57",0,9280012255,7438403431,6899666667,8481944444,3603249002,5570272775,380
5728_2_F,5728_2,Agricultural,b,forest,a,b_a,356,8,6,257,10,51,22,0,10,5,15.05.2019,31.05.2019,135,151,143,16,"19,63","1,226875",0,1376032353,7775948039,6899666667,8481944444,3603249002,5570272775,380
5728_2_F,5728_2,Agricultural,b,forest,a,b_a,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,31.05.2019,14.06.2019,151,165,158,14,"27,59","1,97",0,1898045833,7382558611,6899666667,8481944444,3603249002,5570272775,380
5728_2_F,5728_2,Agricultural,b,forest,a,b_a,478,12,9,291,8,97,62,3,6,7,14.06.2019,01.07.2019,165,182,1735,17,"52,9","3,11",0,2236153704,6582214583,6899666667,8481944444,3603249002,5570272775,380
5728_2_F,5728_2,Agricultural,b,forest,a,b_a,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,01.07.2019,16.07.2019,182,197,1895,15,"47,41","3,16",0,1790914844,6531492708,6899666667,8481944444,3603249002,5570272775,380
5728_2_F,5728_2,Agricultural,b,forest,a,b_a,483,14,17,278,24,97,48,3,8,9,16.07.2019,01.08.2019,197,213,205,16,"59,83","3,74",0,2235411029,6383351225,6899666667,8481944444,3603249002,5570272775,380
5728_2_F,5728_2,Agricultural,b,forest,a,b_a,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,01.08.2019,16.08.2019,213,228,2205,15,"19,13","1,28",0,1846171615,7707467188,6899666667,8481944444,3603249002,5570272775,380
5728_2_G,5728_2,Agricultural,b,meadow,b,b_b,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10.04.2019,29.04.2019,100,119,1095,19,"14,47","0,76",0,962969375,6496961458,5952666667,9096944444,3605819467,5573896372,274
5728_2_G,5728_2,Agricultural,b,meadow,b,b_b,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,29.04.2019,15.05.2019,119,135,127,16,"4,08","0,26",0,8370387255,8189705392,5952666667,9096944444,3605819467,5573896372,274
5728_2_G,5728_2,Agricultural,b,meadow,b,b_b,303,2,25,185,13,52,21,0,3,5,15.05.2019,31.05.2019,135,151,143,16,"20,57","1,285625",0,1292425245,7965841912,5952666667,9096944444,3605819467,5573896372,274
5728_2_G,5728_2,Agricultural,b,meadow,b,b_b,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,31.05.2019,14.06.2019,151,165,158,14,"40,01","2,86",0,1828694444,7626955556,5952666667,9096944444,3605819467,5573896372,274
5728_2_G,5728_2,Agricultural,b,meadow,b,b_b,428,5,21,269,16,78,33,3,4,7,14.06.2019,01.07.2019,165,182,1735,17,"95,3","5,61",0,2116417361,7011307407,5952666667,9096944444,3605819467,5573896372,274
5728_2_G,5728_2,Agricultural,b,meadow,b,b_b,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,01.07.2019,16.07.2019,182,197,1895,15,"55,56","3,7",0,1653355469,7135909635,5952666667,9096944444,3605819467,5573896372,274
5728_2_G,5728_2,Agricultural,b,meadow,b,b_b,363,15,30,192,22,50,39,14,7,9,16.07.2019,01.08.2019,197,213,205,16,"58,92","3,68",0,2133733578,6793689216,5952666667,9096944444,3605819467,5573896372,274
5728_2_G,5728_2,Agricultural,b,meadow,b,b_b,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,01.08.2019,16.08.2019,213,228,2205,15,"26,92","1,79",0,1798557031,7722679427,5952666667,9096944444,3605819467,5573896372,274
5737_3_A,5737_3,Agricultural,b,arable field,c,b_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,8189,7747777778,3703971817,5569530559,545
5737_3_A,5737_3,Agricultural,b,arable field,c,b_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,29.04.2019,15.05.2019,119,135,127,16,"9,8","0,61",0,7084186275,8153518137,8189,7747777778,3703971817,5569530559,545
5737_3_A,5737_3,Agricultural,b,arable field,c,b_c,237,1,11,182,4,25,9,0,5,5,15.05.2019,30.05.2019,135,150,1425,15,"38,8","2,586666667",0,1165769792,8308633594,8189,7747777778,3703971817,5569530559,545
5737_3_A,5737_3,Agricultural,b,arable field,c,b_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,30.05.2019,14.06.2019,150,165,1575,15,"97,87","6,52",0,1760974219,7619243229,8189,7747777778,3703971817,5569530559,545
5737_3_A,5737_3,Agricultural,b,arable field,c,b_c,389,5,16,266,5,45,40,5,6,7,14.06.2019,03.07.2019,165,184,1745,19,"193,2","10,17",0,2009439792,6925221458,8189,7747777778,3703971817,5569530559,545
5737_3_A,5737_3,Agricultural,b,arable field,c,b_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,03.07.2019,18.07.2019,184,199,1915,15,"77,04","5,14",0,1534885938,7203801823,8189,7747777778,3703971817,5569530559,545
5737_3_A,5737_3,Agricultural,b,arable field,c,b_c,399,4,22,250,6,57,40,6,9,9,18.07.2029,03.08.2019,199,215,207,16,"137,56","8,6",2,NA,NA,8189,7747777778,3703971817,5569530559,545
5737_3_A,5737_3,Agricultural,b,arable field,c,b_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,03.08.2019,17.08.2019,215,229,222,14,"79,63","5,69",0,1659930556,8079308333,8189,7747777778,3703971817,5569530559,545
5737_3_F,5737_3,Agricultural,b,forest,a,b_a,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,12.04.2019,02.05.2019,102,122,112,20,"6,43","0,32",0,8989132937,6923248214,7956,7755555556,3706396058,5570088789,569
5737_3_F,5737_3,Agricultural,b,forest,a,b_a,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,02.05.2019,15.05.2019,122,135,1285,13,"1,46","0,11",0,6120732143,8402517262,7956,7755555556,3706396058,5570088789,569
5737_3_F,5737_3,Agricultural,b,forest,a,b_a,202,6,22,110,9,40,4,1,14,5,15.05.2019,30.05.2019,135,150,1425,15,"8,37","0,558",0,1140244792,8240789583,7956,7755555556,3706396058,5570088789,569
5737_3_F,5737_3,Agricultural,b,forest,a,b_a,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,30.05.2019,14.06.2019,150,165,1575,15,"23,55","1,57",0,1750610156,7162654948,7956,7755555556,3706396058,5570088789,569
5737_3_F,5737_3,Agricultural,b,forest,a,b_a,399,10,26,209,5,79,58,6,9,7,14.06.2019,03.07.2019,165,184,1745,19,"73,2","3,85",0,2021961667,634316375,7956,7755555556,3706396058,5570088789,569
5737_3_F,5737_3,Agricultural,b,forest,a,b_a,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,03.07.2019,18.07.2019,184,199,1915,15,"20,16","1,34",0,1529970313,6944864323,7956,7755555556,3706396058,5570088789,569
5737_3_F,5737_3,Agricultural,b,forest,a,b_a,361,8,15,195,10,90,31,4,10,9,18.07.2029,03.08.2019,199,215,207,16,36,"2,25",2,NA,NA,7956,7755555556,3706396058,5570088789,569
5737_3_F,5737_3,Agricultural,b,forest,a,b_a,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,03.08.2019,17.08.2019,215,229,222,14,"13,49","0,96",0,1608063611,8460851389,7956,7755555556,3706396058,5570088789,569
5737_3_G,5737_3,Agricultural,b,meadow,b,b_b,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,12.04.2019,02.05.2019,102,122,112,20,"9,39","0,47",0,8646242063,71487125,7816666667,7832222222,3706800497,5568226053,514
5737_3_G,5737_3,Agricultural,b,meadow,b,b_b,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,02.05.2019,15.05.2019,122,135,1285,13,"1,41","0,11",0,6565979167,8260179464,7816666667,7832222222,3706800497,5568226053,514
5737_3_G,5737_3,Agricultural,b,meadow,b,b_b,276,3,10,216,3,34,3,0,7,5,15.05.2019,30.05.2019,135,150,1425,15,"18,58","1,238666667",0,1185894531,8165319271,7816666667,7832222222,3706800497,5568226053,514
5737_3_G,5737_3,Agricultural,b,meadow,b,b_b,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,30.05.2019,14.06.2019,150,165,1575,15,"30,01",2,0,1817483333,7356929167,7816666667,7832222222,3706800497,5568226053,514
5737_3_G,5737_3,Agricultural,b,meadow,b,b_b,287,5,9,179,5,37,43,5,6,7,14.06.2019,03.07.2019,165,184,1745,19,"101,2","5,33",0,2034592708,6728480208,7816666667,7832222222,3706800497,5568226053,514
5737_3_G,5737_3,Agricultural,b,meadow,b,b_b,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,03.07.2019,18.07.2019,184,199,1915,15,"52,03","3,47",0,1566161458,7129078385,7816666667,7832222222,3706800497,5568226053,514
5737_3_G,5737_3,Agricultural,b,meadow,b,b_b,318,9,12,191,8,51,37,8,3,9,18.07.2029,03.08.2019,199,215,207,16,"82,54","5,16",2,NA,NA,7816666667,7832222222,3706800497,5568226053,514
5737_3_G,5737_3,Agricultural,b,meadow,b,b_b,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,03.08.2019,17.08.2019,215,229,222,14,30,"2,14",0,1684751111,8068730833,7816666667,7832222222,3706800497,5568226053,514
5837_4_A,5837_4,Agricultural,b,arable field,c,b_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,8110333333,749,3711584144,556055571,626
5837_4_A,5837_4,Agricultural,b,arable field,c,b_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,29.04.2019,15.05.2019,119,135,127,16,"1,2","0,08",0,6656156863,7992078431,8110333333,749,3711584144,556055571,626
5837_4_A,5837_4,Agricultural,b,arable field,c,b_c,238,1,16,169,4,34,10,0,2,5,15.05.2019,30.05.2019,135,150,1425,15,"16,03","1,068666667",0,1125367969,8251016406,8110333333,749,3711584144,556055571,626
5837_4_A,5837_4,Agricultural,b,arable field,c,b_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,30.05.2019,14.06.2019,150,165,1575,15,"49,36","3,29",0,1790852083,7213923698,8110333333,749,3711584144,556055571,626
5837_4_A,5837_4,Agricultural,b,arable field,c,b_c,295,5,15,190,5,48,23,6,6,7,14.06.2019,03.07.2019,165,184,1745,19,93,"4,89",0,2025870625,6518987292,8110333333,749,3711584144,556055571,626
5837_4_A,5837_4,Agricultural,b,arable field,c,b_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,03.07.2019,18.07.2019,184,199,1915,15,"40,5","2,7",0,1543415365,686123099,8110333333,749,3711584144,556055571,626
5837_4_A,5837_4,Agricultural,b,arable field,c,b_c,294,8,20,164,13,53,27,8,2,9,18.07.2019,02.08.2019,199,214,2065,15,"47,7","3,18",0,2131484896,6283402604,8110333333,749,3711584144,556055571,626
5837_4_A,5837_4,Agricultural,b,arable field,c,b_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,02.08.2019,17.08.2019,214,229,2215,15,"31,21","2,08",0,1681505469,7590150521,8110333333,749,3711584144,556055571,626
5837_4_F,5837_4,Agricultural,b,forest,a,b_a,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,18.04.2019,07.05.2019,108,127,1175,19,"12,94","0,68",0,1024430833,6735429792,9032,74125,3709964089,5557350679,680
5837_4_F,5837_4,Agricultural,b,forest,a,b_a,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,07.05.2019,15.05.2019,127,135,131,8,"3,5","0,44",0,7401421296,7891096759,9032,74125,3709964089,5557350679,680
5837_4_F,5837_4,Agricultural,b,forest,a,b_a,289,4,23,214,8,27,7,4,5,5,15.05.2019,30.05.2019,135,150,1425,15,"23,27","1,551333333",0,1223701302,7805582031,9032,74125,3709964089,5557350679,680
5837_4_F,5837_4,Agricultural,b,forest,a,b_a,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,30.05.2019,14.06.2019,150,165,1575,15,"43,89","2,93",0,1939688802,6273033073,9032,74125,3709964089,5557350679,680
5837_4_F,5837_4,Agricultural,b,forest,a,b_a,398,13,21,229,8,86,38,3,5,7,14.06.2019,03.07.2019,165,184,1745,19,"73,7","3,88",0,2193367292,5741215208,9032,74125,3709964089,5557350679,680
5837_4_F,5837_4,Agricultural,b,forest,a,b_a,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,03.07.2019,18.07.2019,184,199,1915,15,"36,78","2,45",0,163833125,656336901,9032,74125,3709964089,5557350679,680
5837_4_F,5837_4,Agricultural,b,forest,a,b_a,344,7,14,218,8,70,20,5,4,9,18.07.2019,02.08.2019,199,214,2065,15,"71,33","4,76",0,2217238021,6024699479,9032,74125,3709964089,5557350679,680
5837_4_F,5837_4,Agricultural,b,forest,a,b_a,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,02.08.2019,17.08.2019,214,229,2215,15,"50,47","3,36",0,174057474,7577000781,9032,74125,3709964089,5557350679,680
5837_4_G,5837_4,Agricultural,b,meadow,b,b_b,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,18.04.2019,29.04.2019,108,119,1135,11,"15,56","1,414545455",0,1008774653,6906834722,7977,77,3712800185,5557018502,543
